Nombre,Título Original,Versión/Subtítulo,Año,Duración,Categoría de Scoring,Instrumentación Detallada,Fecha de Estreno,Lugar de Estreno,Ciudad de Estreno,Intérpretes del Estreno,Encargos / Ayudas,Notas Adicionales
César Camarero,37 MANERAS DE MIRAR UN VASO DE AGUA,-,2011,13',Ensemble,"fl, cl, sax, 2 perc, guit, vln, vla, vcl",23-05-2011,Espacio Turina,"Sevilla, España","Zahir Ensemble, dir. Juan García Rodríguez",N/D,N/D
César Camarero,NADA LO RETUVO,-,2011,9',Solo,vcl solo,06-12-2011,Sendesaal,"Bremen, Alemania",David Apellániz,N/D,N/D
César Camarero,DESDE EL INTERIOR DE LA ACELERACIÓN,-,2011,15'20'',Ensemble,"fl, cl, sax, vln, vcl, perc, pno",21-11-2011,Central Lechera,"Cádiz, España",Taller Sonoro,N/D,Estreno en el Festival de Música Española de Cádiz.
César Camarero,EN LA MEDIDA DE LAS COSAS,Poema escénico,2010,31',Escénica,"voz femenina, cl, vla, vcl, pno",24-09-2010,Bienal de Venecia,"Venecia, Italia","Sarah Sun, C. Domínguez, A.M. Alonso, D. Apellániz, A. Rosado",Música de Hoy-Xavier Güell,Textos de María Negroni.
César Camarero,KLANGFARBENPHONIE 2,-,2010,17',Ensemble,"fl, cl, 2 perc, pno, 2 vln, vla, vcl",04-02-2010,Muziekgebau,"Ámsterdam, Holanda",Dir. Sylvain Cambreling,Klangforum Wien,N/D
César Camarero,DURACIÓN INVISIBLE,-,2009,22',Orquesta,"2 orquestas de cámara, solistas (vln, vcl, pno)",01-06-2009,Auditorio Nacional,"Madrid, España","Trío Arbós, ORCAM, dir. José Ramón Encinar",Comunidad de Madrid,N/D
César Camarero,PRECIPITACIONES,Estudio,2008,4'30'',Solo,marimba sola,N/D,N/D,N/D,N/D,N/D,N/D
César Camarero,INMERSIÓN,-,2008,3',Solo,vla sola,N/D,N/D,N/D,N/D,N/D,N/D
César Camarero,SIETE IMÁGENES DE SATURNO,-,2008,5',Ensemble,"fl, cl, vln, vcl, 2 perc, pno",13-09-2008,Festival de Alicante,"Alicante, España",Taller Sonoro,N/D,N/D
César Camarero,A CADA MOMENTO,-,2008,10',Ensemble,"fl en sol solista, cl, sax alto, vln, vcl, perc, pno",30-04-2008,Teatro Central,"Sevilla, España",Taller Sonoro,Taller Sonoro,N/D
César Camarero,PULSIÓN,-,2007,10',Trío,"vln, vcl, pno",28-04-2008,Auditorio 400 (MNCARS),"Madrid, España",Solistas de Plural Ensemble,Paloma O'shea (Escuela Reina Sofía),N/D
César Camarero,VANISHING POINT,-,2007,20',Orquesta,"2 perc solistas, orquesta",15-11-2007,Teatro de la Maestranza,"Sevilla, España","I. Martín, G. Midoux, ROSS, dir. Jesús Amigo",Fundación Autor-A.E.O.S.,Interpretada en Cádiz (17-11-2007).
César Camarero,AFTERIMAGE,-,2007,10',Ensemble,"fl, cl, pno, 2 vln, vla, vcl",16-06-2007,Mannes College,"Nueva York, EE.UU.","Plural Ensemble, dir. Fabián Panisello",INAEM para Plural Ensemble,Estreno en el Institute and Festival for Contemporary Performance.
César Camarero,TRAYECTO LÍQUIDO,Versión trío,2007,8',Trío,"cl, sax alto, vcl",24-02-2008,Conservatorio de Cádiz,"Cádiz, España",Taller Sonoro,N/D,Estreno en Cátedra Manuel de Falla.
